h(theta) = g(z),J-theta1 when y = 1,J-theta2 when y = 0 
0.01,2,0.00436480540245
0.011,1.95860731484177,0.004803708402821
0.012,1.92081875395238,0.005243055412372
0.013,1.88605664769316,0.005682847330363
0.014,1.85387196432176,0.006123085058789
0.015,1.82390874094432,0.006563769502388
0.016,1.79588001734407,0.007004901568658
0.017,1.76955107862173,0.007446482167864
0.018,1.74472749489669,0.00788851221305
0.019,1.72124639904717,0.008330992620052
0.02,1.69897000433602,0.008773924307505
0.021,1.67778070526608,0.009217308196862
0.022,1.65757731917779,0.009661145212399
0.023,1.63827216398241,0.010105436281227
0.024,1.61978875828839,0.010550182333308
0.025,1.60205999132796,0.010995384301463
0.026,1.58502665202918,0.011441043121385
0.027,1.56863623584101,0.011887159731648
0.028,1.55284196865778,0.012333735073726
0.029,1.53760200210104,0.012780770091995
0.03,1.52287874528034,0.013228265733755
0.031,1.50863830616573,0.013676222949235
0.032,1.49485002168009,0.014124642691606
0.033,1.48148606012211,0.014573525916998
0.034,1.46852108295774,0.015022873584507
0.035,1.45593195564972,0.015472686656208
0.036,1.44369749923271,0.015922966097169
0.037,1.431798275933,0.016373712875466
0.038,1.42021640338319,0.016824927962187
0.039,1.4089353929735,0.017276612331455
0.04,1.39794000867204,0.017728766960432
0.041,1.38721614328026,0.018181392829337
0.042,1.3767507096021,0.018634490921456
0.043,1.36653154442041,0.019088062223157
0.044,1.35654732351381,0.0195421077239
0.045,1.34678748622466,0.019996628416254
0.046,1.33724216831843,0.020451625295905
0.047,1.32790214206428,0.020907099361674
0.048,1.31875876262441,0.021363051615526
0.049,1.30980391997149,0.021819483062586
0.05,1.30102999566398,0.022276394711152
0.051,1.29242982390206,0.022733787572707
0.052,1.2839966563652,0.023191662661934
0.053,1.27572413039921,0.023650020996727
0.054,1.26760624017703,0.024108863598207
0.055,1.25963731050576,0.024568191490737
0.056,1.2518119729938,0.025028005701931
0.057,1.24412514432751,0.025488307262672
0.058,1.23657200643706,0.025949097207123
0.059,1.22914798835786,0.026410376572743
0.06,1.22184874961636,0.026872146400301
0.061,1.21467016498923,0.027334407733889
0.062,1.20760831050175,0.027797161620936
0.063,1.20065945054642,0.028260409112222
0.064,1.19382002601611,0.028724151261895
0.065,1.18708664335714,0.029188389127482
0.066,1.18045606445813,0.029653123769907
0.067,1.17392519729917,0.0301183562535
0.068,1.16749108729376,0.030584087646019
0.069,1.16115090926274,0.031050319018657
0.07,1.15490195998574,0.031517051446065
0.071,1.14874165128092,0.031984286006358
0.072,1.14266750356873,0.032452023781138
0.073,1.13667713987954,0.032920265855503
0.074,1.13076828026902,0.033389013318066
0.075,1.1249387366083,0.033858267260968
0.076,1.11918640771921,0.034328028779893
0.077,1.11350927482752,0.034798298974088
0.078,1.10790539730952,0.035269078946371
0.079,1.10237290870956,0.035740369803151
0.08,1.09691001300806,0.036212172654445
0.081,1.09151498112135,0.036684488613889
0.082,1.08618614761628,0.037157318798758
0.083,1.08092190762393,0.037630664329979
0.084,1.07572071393812,0.03810452633215
0.085,1.07058107428571,0.038578905933552
0.086,1.06550154875643,0.039053804266169
0.087,1.06048074738138,0.039529222465701
0.088,1.05551732784983,0.040005161671584
0.089,1.05060999335509,0.040481623027002
0.09,1.04575749056067,0.040958607678907
0.091,1.04095860767891,0.041436116778033
0.092,1.03621217265444,0.041914151478915
0.093,1.03151705144606,0.042392712939905
0.094,1.0268721464003,0.042871802323187
0.095,1.02227639471115,0.043351420794797
0.096,1.01772876696043,0.043831569524637
0.097,1.01322826573375,0.044312249686494
0.098,1.0087739243075,0.044793462458058
0.099,1.00436480540245,0.045275209020937
0.1,1,0.045757490560675
0.101,0.995678626217357,0.046240308266771
0.102,0.991399828238082,0.046723663332696
0.103,0.987162775294827,0.047207556955908
0.104,0.982966660701219,0.047691990337875
0.105,0.978810700930061,0.048176964684088
0.106,0.974694134735229,0.048662481204082
0.107,0.97061622231479,0.049148541111454
0.108,0.96657624451305,0.049635145623877
0.109,0.962573502059376,0.050122295963125
0.11,0.958607314841775,0.050609993355087
0.111,0.954677021213342,0.051098239029786
0.112,0.950781977329818,0.051587034221399
0.113,0.94692155651658,0.052076380168274
0.114,0.943095148663527,0.052566278112949
0.115,0.939302159646388,0.053056729302175
0.116,0.935542010773081,0.053547734986927
0.117,0.931814138253838,0.054039296422432
0.118,0.928117992693874,0.05453141486818
0.119,0.924453038607469,0.055024091587952
0.12,0.920818753952375,0.055517327849832
0.121,0.917214629683549,0.056011124926228
0.122,0.913640169325251,0.056505484093898
0.123,0.910094888560602,0.05700040663396
0.124,0.906578314837764,0.057495893831919
0.125,0.903089986991943,0.057991946977687
0.126,0.899629454882437,0.058488567365597
0.127,0.896196279044043,0.05898575629443
0.128,0.892790030352131,0.059483515067433
0.129,0.889410289700751,0.059981844992337
0.13,0.886056647693163,0.060480747381382
0.131,0.882728704344235,0.060980223551334
0.132,0.87942606879415,0.061480274823508
0.133,0.876148359032914,0.06198090252379
0.134,0.872895201635192,0.062482107982653
0.135,0.869666231504993,0.062983892535186
0.136,0.866461091629782,0.063486257521107
0.137,0.863279432843593,0.063989204284791
0.138,0.860120913598763,0.064492734175287
0.139,0.856985199745905,0.064996848546345
0.14,0.853871964321762,0.065501548756432
0.141,0.85078088734462,0.066006836168758
0.142,0.847711655616943,0.066512712151295
0.143,0.844663962534938,0.067019178076802
0.144,0.84163750790475,0.067526235322847
0.145,0.838631997765025,0.068033885271828
0.146,0.835647144215563,0.068542129310995
0.147,0.832682665251824,0.069050968832477
0.148,0.829738284605042,0.0695604052333
0.149,0.826813731587725,0.070070439915412
0.15,0.823908740944318,0.070581074285707
0.151,0.82102305270683,0.071092309756047
0.152,0.818156412055227,0.071604147743286
0.153,0.815308569182401,0.072116589669293
0.154,0.812479279163536,0.072629636960977
0.155,0.809668301829708,0.073143291050308
0.156,0.806875401645538,0.073657553374345
0.157,0.804100347590766,0.074172425375258
0.158,0.801342913045577,0.074687908500351
0.159,0.798602875679548,0.075204004202088
0.16,0.795880017344075,0.075720713938118
0.161,0.79317412396815,0.0762380391713
0.162,0.790484985457369,0.076755981369724
0.163,0.787812395596042,0.07727454200674
0.164,0.785156151952302,0.077793722560984
0.165,0.782516055786093,0.078313524516398
0.166,0.779891911959945,0.078833949362261
0.167,0.777283528852416,0.079354998593213
0.168,0.774690718274137,0.079876673709276
0.169,0.772113295386326,0.080398976215889
0.17,0.769551078621726,0.080921907623926
